id,source_id,change,title,location,observed_at
exolaunch:2504337,exolaunch,new,Engineering Technician (m/w/d),"Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2535135,exolaunch,new,Future Opportunities – Open Application,"Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2615234,exolaunch,new,Future Opportunities – Open Application,"Denver, USA",2026-09-22T12:21:44.979985Z
exolaunch:2799954,exolaunch,new,International Logistics Specialist (m/w/d),"Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2803946,exolaunch,new,Marketing Director (m/w/d),"Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2782697,exolaunch,new,Mechanical Design Engineer - EXOtube (CAD Specialist),"Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2571248,exolaunch,new,Office Coordinator (m/f/d),"Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2570347,exolaunch,new,Operativer Einkäufer / Technical Buyer (m/w/d),"Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2782501,exolaunch,new,Product Manager - EXOtube,"Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2632283,exolaunch,new,"Technical Product Manager, Electronics (m/w/d)","Berlin, Germany",2026-09-22T12:21:44.979985Z
exolaunch:2504264,exolaunch,new,Test Engineer - Mechanical Space Systems (m/w/d),"Berlin, Germany",2026-09-22T12:21:44.979985Z
