id,source_id,change,title,location,observed_at
hyimpulse:2546611,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2502029,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2748877,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2463567,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2762828,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2700685,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2546581,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2611021,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2502452,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2515664,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2449978,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
hyimpulse:2457493,hyimpulse,new,APPLY NOW,Unknown,2026-09-22T12:21:45.071166Z
