title,location,company,department,link,mission,requirements,benefits,scrape_timestamp
Civil Engineer/Project Manager - Rail/Transit,"Wethersfield, Connecticut, United States",Jacobs,Project Management,https://careers.jacobs.com/en_US/careers/JobDetail/Civil-Engineer-Project-Manager-Rail-Transit/41329,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Civil Engineer/Project Manager - Rail/Transit
Apply
Share
Location
Wethersfield, Connecticut, United States
Capabilities
Project Management
Office Setup
Hybrid
Job ID
#41329
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
Transportation systems are the backbone of economic growth and daily life, yet many are under increasing pressure to keep pace with rising demand, decarbonization goals and changing travel patterns. Extreme weather and funding constraints are adding complexity across networks.

A","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Civil Engineer/Project Manager - Rail/Transit
Apply
Share
Location
Wethersfield, Connecticut, United States
Capabilities
Project Management
Office Setup
Hybrid
Job ID
#41329
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
Transportation systems are the backbone of economic growth and daily life, yet many are under increasing pressure to keep pace with rising demand, decarbonization goals and changing travel patterns. Extreme weather and funding constraints are adding complexity across networks.

A",,2026-06-25_14-35-53
Bridge Engineering Professional Associate,"Corvallis, Oregon, United States",Jacobs,Civil and Structural,https://careers.jacobs.com/en_US/careers/JobDetail/Bridge-Engineering-Professional-Associate/41308,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Bridge Engineering Professional Associate
Apply
Share
Location
Corvallis, Oregon, United States
Capabilities
Civil and Structural
Office Setup
Hybrid
Job ID
#41308
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
Load rating existing bridges and culverts. Plan and design bridges, retaining walls, foundations, and other structures. Work as part of a team of professionals on multiple projects. Develop preliminary and detailed construction cost estimates. Provide cost related input during the selectio","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Bridge Engineering Professional Associate
Apply
Share
Location
Corvallis, Oregon, United States
Capabilities
Civil and Structural
Office Setup
Hybrid
Job ID
#41308
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
Load rating existing bridges and culverts. Plan and design bridges, retaining walls, foundations, and other structures. Work as part of a team of professionals on multiple projects. Develop preliminary and detailed construction cost estimates. Provide cost related input during the selectio",,2026-06-25_14-35-59
Facilities Instrumentation Engineering Owner’s Representative (41302),"Boise, Idaho, United States",Jacobs,Electrical,https://careers.jacobs.com/en_US/careers/JobDetail/Facilities-Instrumentation-Engineering-Owner-s-Representative-41302/41302,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Facilities Instrumentation Engineering Owner’s Representative (41302)
Apply
Share
Location
Boise, Idaho, United States
Capabilities
Electrical
Office Setup
Remote
Job ID
#41302
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
We’re looking for a Facilities Instrumentation Engineering Owner’s Representative to play a key role in delivering cutting‑edge semiconductor manufacturing projects in Boise, ID. This is a high‑impact opportunity to work at the heart of advanced manufacturing, partnering with ","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Facilities Instrumentation Engineering Owner’s Representative (41302)
Apply
Share
Location
Boise, Idaho, United States
Capabilities
Electrical
Office Setup
Remote
Job ID
#41302
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
We’re looking for a Facilities Instrumentation Engineering Owner’s Representative to play a key role in delivering cutting‑edge semiconductor manufacturing projects in Boise, ID. This is a high‑impact opportunity to work at the heart of advanced manufacturing, partnering with ",,2026-06-25_14-36-05
Senior Layout Designer/Industrial Engineer (41300),"Essex Junction, Vermont, United States",Jacobs,Drafting and Design,https://careers.jacobs.com/en_US/careers/JobDetail/Senior-Layout-Designer-Industrial-Engineer-41300/41300,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Senior Layout Designer/Industrial Engineer (41300)
Apply
Share
Location
Essex Junction, Vermont, United States
Capabilities
Drafting and Design
Office Setup
Hybrid
Job ID
#41300
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
Responsible for planning, developing, and optimizing architectural layouts for semiconductor manufacturing tool installations within cleanroom environments. This role ensures efficient space utilization, compliance with facility standards, and seamless integration of tools, u","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Senior Layout Designer/Industrial Engineer (41300)
Apply
Share
Location
Essex Junction, Vermont, United States
Capabilities
Drafting and Design
Office Setup
Hybrid
Job ID
#41300
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
Responsible for planning, developing, and optimizing architectural layouts for semiconductor manufacturing tool installations within cleanroom environments. This role ensures efficient space utilization, compliance with facility standards, and seamless integration of tools, u",,2026-06-25_14-36-10
Layout Designer/Industrial Designer (41299),"Portland, Oregon, United States",Jacobs,Drafting and Design,https://careers.jacobs.com/en_US/careers/JobDetail/Layout-Designer-Industrial-Designer-41299/41299,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Layout Designer/Industrial Designer (41299)
Apply
Share
Location
Portland, Oregon, United States
Capabilities
Drafting and Design
Office Setup
Hybrid
Job ID
#41299
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
Responsible for planning, developing, and optimizing architectural layouts for semiconductor manufacturing tool installations within cleanroom environments. This role ensures efficient space utilization, compliance with facility standards, and seamless integration of tools, utilities, and ","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Layout Designer/Industrial Designer (41299)
Apply
Share
Location
Portland, Oregon, United States
Capabilities
Drafting and Design
Office Setup
Hybrid
Job ID
#41299
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
Responsible for planning, developing, and optimizing architectural layouts for semiconductor manufacturing tool installations within cleanroom environments. This role ensures efficient space utilization, compliance with facility standards, and seamless integration of tools, utilities, and ",,2026-06-25_14-36-16
Electrical Quality Lead (LSNA-PR),"Guaynabo, Puerto Rico, United States",Jacobs,Construction,https://careers.jacobs.com/en_US/careers/JobDetail/Electrical-Quality-Lead-LSNA-PR/41298,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Electrical Quality Lead (LSNA-PR)
Apply
Share
Location
Guaynabo, Puerto Rico, United States
Capabilities
Construction
Office Setup
Office/Onsite
Job ID
#41298
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
At Jacobs, we’re not just building structures, we’re helping our clients innovate and grow by designing, engineering, and executing the construction of their state-of-the-art facilities that are changing our world.  

We're looking for an Electrical Quality Lead in and around the Guaynabo, Puer","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Electrical Quality Lead (LSNA-PR)
Apply
Share
Location
Guaynabo, Puerto Rico, United States
Capabilities
Construction
Office Setup
Office/Onsite
Job ID
#41298
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
At Jacobs, we’re not just building structures, we’re helping our clients innovate and grow by designing, engineering, and executing the construction of their state-of-the-art facilities that are changing our world.  

We're looking for an Electrical Quality Lead in and around the Guaynabo, Puer",,2026-06-25_14-36-22
Project Manager (LSNA-CA),"San Francisco, California, United States",Jacobs,Project Management,https://careers.jacobs.com/en_US/careers/JobDetail/Project-Manager-LSNA-CA/41297,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Project Manager (LSNA-CA)
Apply
Share
Location
San Francisco, California, United States
Capabilities
Project Management
Office Setup
Hybrid
Job ID
#41297
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
When it comes to engineering and construction, we don’t just look at what’s in front of us. We’re creating for what’s next.  

As a Project Management Professional, you will join our collaborative team providing our clients with award-winning planning, engineering, architectural design, and quality ","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Project Manager (LSNA-CA)
Apply
Share
Location
San Francisco, California, United States
Capabilities
Project Management
Office Setup
Hybrid
Job ID
#41297
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
When it comes to engineering and construction, we don’t just look at what’s in front of us. We’re creating for what’s next.  

As a Project Management Professional, you will join our collaborative team providing our clients with award-winning planning, engineering, architectural design, and quality ",,2026-06-25_14-36-27
"Stormwater/Collections Operator - Key West, FL ($12,000/year COLA)","Key West, Florida, United States",Jacobs,Operations and Maintenance,https://careers.jacobs.com/en_US/careers/JobDetail/Stormwater-Collections-Operator-Key-West-FL-12-000-year-COLA/41294,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Stormwater/Collections Operator - Key West, FL ($12,000/year COLA)
Apply
Share
Location
Key West, Florida, United States
Capabilities
Operations and Maintenance
Office Setup
Office/Onsite
Job ID
#41294
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
At Jacobs, we challenge what is currently accepted, so we can shape innovative and lasting solutions for tomorrow. Through the delivery of our operations and maintenance services, you’ll make it simpler and more seamless for our municipal clients to op","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Stormwater/Collections Operator - Key West, FL ($12,000/year COLA)
Apply
Share
Location
Key West, Florida, United States
Capabilities
Operations and Maintenance
Office Setup
Office/Onsite
Job ID
#41294
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
At Jacobs, we challenge what is currently accepted, so we can shape innovative and lasting solutions for tomorrow. Through the delivery of our operations and maintenance services, you’ll make it simpler and more seamless for our municipal clients to op",,2026-06-25_14-36-33
"Industrial Pre-Treatment Coordinator - Hood River, OR","Hood River, Oregon, United States",Jacobs,Operations and Maintenance,https://careers.jacobs.com/en_US/careers/JobDetail/Industrial-Pre-Treatment-Coordinator-Hood-River-OR/41291,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Industrial Pre-Treatment Coordinator - Hood River, OR
Apply
Share
Location
Hood River, Oregon, United States
Capabilities
Operations and Maintenance
Office Setup
Office/Onsite
Job ID
#41291
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
At Jacobs, we’re challenging today to reinvent tomorrow by solving the world’s most critical infrastructure and environmental challenges. As an Industrial Pretreatment Coordinator, you’ll play a key role in protecting public health and the environment by ensuring ","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Industrial Pre-Treatment Coordinator - Hood River, OR
Apply
Share
Location
Hood River, Oregon, United States
Capabilities
Operations and Maintenance
Office Setup
Office/Onsite
Job ID
#41291
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
At Jacobs, we’re challenging today to reinvent tomorrow by solving the world’s most critical infrastructure and environmental challenges. As an Industrial Pretreatment Coordinator, you’ll play a key role in protecting public health and the environment by ensuring ",,2026-06-25_14-36-38
Federal PMCM Senior Program Manager,"Pensacola, Florida, United States",Jacobs,Construction,https://careers.jacobs.com/en_US/careers/JobDetail/Federal-PMCM-Senior-Program-Manager/41290,"Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Federal PMCM Senior Program Manager
Apply
Share
Location
Pensacola, Florida, United States
Capabilities
Construction
Office Setup
Hybrid
Job ID
#41290
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
We are looking for a highly motivated Project Management / Construction Management (PM/CM) Delivery Leader with a history of selling and delivering professional services in support of Army, Air Force, and Navy projects and programs.   
You’ll have the chance to work on large capital projects across the","Jacobs
About us
Solutions
Careers
Newsroom
Investors
Search jobs
Life at Jacobs
Events
Early careers
Military & veteran talent
Login
Careers
Let's see the impact we can create together.
Search jobs
Job Detail
Federal PMCM Senior Program Manager
Apply
Share
Location
Pensacola, Florida, United States
Capabilities
Construction
Office Setup
Hybrid
Job ID
#41290
At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.
Your impact
We are looking for a highly motivated Project Management / Construction Management (PM/CM) Delivery Leader with a history of selling and delivering professional services in support of Army, Air Force, and Navy projects and programs.   
You’ll have the chance to work on large capital projects across the",,2026-06-25_14-36-44
