location,count
"Denver, Colorado, United States",47
"Philadelphia, Pennsylvania, United States",33
"Bellevue, Washington, United States",29
"Portland, Oregon, United States",26
"Boston, Massachusetts, United States",20
"Conshohocken, Pennsylvania, United States",20
"Dallas, Texas, United States",19
"Atlanta, Georgia, United States",18
"New York, New York, United States",18
"Corpus Christi, Texas, United States",18
"Arlington, Virginia, United States",17
"Honolulu, Hawaii, United States",17
"Boise, Idaho, United States",16
"St. Louis, Missouri, United States",15
"Greenville, South Carolina, United States",13
"Los Angeles, California, United States",13
"Cary, North Carolina, United States",13
"Chicago, Illinois, United States",12
"Houston, Texas, United States",12
"Pittsburgh, Pennsylvania, United States",11
"Tampa, Florida, United States",11
"Austin, Texas, United States",10
"Orlando, Florida, United States",10
"Columbus, Ohio, United States",10
"San Francisco, California, United States",9
"Saint Francisville, Louisiana, United States",9
"Chantilly, Virginia, United States",9
"Oklahoma City, Oklahoma, United States",8
"The Villages, Florida, United States",8
"Holladay, Utah, United States",8
"Tempe, Arizona, United States",8
"Spartanburg, South Carolina, United States",7
"Cincinnati, Ohio, United States",7
"Nashua, New Hampshire, United States",7
"Nashville, Tennessee, United States",7
"Irvine, California, United States",7
"Corvallis, Oregon, United States",6
"Guaynabo, Puerto Rico, United States",6
"Albany, New York, United States",6
"Baton Rouge, Louisiana, United States",6
"San Diego, California, United States",6
"Wethersfield, Connecticut, United States",5
"Anchorage, Alaska, United States",5
"FPO, All US Regions, United States",5
"Washington, District of Columbia, United States",5
"Richmond, Virginia, United States",5
"Milwaukee, Wisconsin, United States",5
"Redding, California, United States",5
"Oakland, California, United States",5
"Syracuse, New York, United States",5
"Reston, Virginia, United States",5
"Kansas City, Missouri, United States",4
"Omaha, Nebraska, United States",4
"Miami, Florida, United States",4
"Baltimore, Maryland, United States",4
"Chandler, Arizona, United States",4
"Indianapolis, Indiana, United States",4
"Cleveland, Ohio, United States",4
"Chattanooga, Tennessee, United States",4
"Jackson, Mississippi, United States",4
"Sacramento, California, United States",4
"Las Vegas, Nevada, United States",3
"Knoxville, Tennessee, United States",3
"Detroit, Michigan, United States",3
"Fort Lauderdale, Florida, United States",3
"Gainesville, Florida, United States",3
"Hillsboro, Oregon, United States",3
"Seattle, Washington, United States",3
"Pensacola, Florida, United States",2
"Hoboken, New Jersey, United States",2
"Centennial, Colorado, United States",2
"Pembroke Pines, Florida, United States",2
"West Palm Beach, Florida, United States",2
"Newark, New Jersey, United States",2
"Woodland, California, United States",2
"Davie, Florida, United States",2
"Morristown, New Jersey, United States",2
"Englewood, Colorado, United States",2
"Madison, Wisconsin, United States",2
"Jacksonville, Florida, United States",2
"Fort Worth, Texas, United States",2
"Spokane, Washington, United States",2
"Santa Clara, California, United States",2
"El Paso, Texas, United States",2
"Essex Junction, Vermont, United States",1
"Key West, Florida, United States",1
"Hood River, Oregon, United States",1
"West Melbourne, Florida, United States",1
"Salt Lake City, Utah, United States",1
"Ocean Springs, Mississippi, United States",1
"Virginia Beach, Virginia, United States",1
"New Orleans, Louisiana, United States",1
"Westerly, Rhode Island, United States",1
"Orangeburg, New York, United States",1
"Goose Creek, South Carolina, United States",1
"Louisville, Kentucky, United States",1
"Manhattan, New York, United States",1
"Troy, Michigan, United States",1
"San Marcos, California, United States",1
"Santa Cruz, California, United States",1
"Bourne, Massachusetts, United States",1
"Vancouver, Washington, United States",1
"Newport News, Virginia, United States",1
"Henderson, Nevada, United States",1
"Calgary, Alberta, Canada",1
"Beacon, New York, United States",1
"Rochester, New York, United States",1
"Hampton, Virginia, United States",1
"Torrance, California, United States",1
"Poughkeepsie, New York, United States",1
"Little Rock, Arkansas, United States",1
"Ocoee, Florida, United States",1
"Renton, Washington, United States",1
"Fayetteville, Arkansas, United States",1
"Cape Canaveral, Florida, United States",1
"Silver Spring, Maryland, United States",1
"Montgomery, Alabama, United States",1
"Lincoln, California, United States",1
"Rockville, Maryland, United States",1
"Southbridge, Massachusetts, United States",1
"Mcdonough, Georgia, United States",1
"Midland, Texas, United States",1
"Quincy, Washington, United States",1
"Wilsonville, Oregon, United States",1
"Toronto, Ontario, Canada",1
"Naples, Florida, United States",1
"Ontario, California, United States",1
"Manassas, Virginia, United States",1
"Pompano Beach, Florida, United States",1
"Huntsville, Alabama, United States",1
"West Des Moines, Iowa, United States",1
TOTAL,742
