date,change_type,title,location,timestamp
2026-06-10,NO_CHANGES,-,-,
2026-06-10,NO_CHANGES,-,-,
,NO_CHANGES,-,-,2026-06-10_11-09-59
,NO_CHANGES,-,-,2026-06-10_11-30-34
,NO_CHANGES,-,-,2026-06-10_11-36-10
,NEW,Fleet Orchestration Engineer - Neuraverse (human),Metzingen,2026-06-11_10-15-51
,NEW,Software Support L2 Engineer (human),Metzingen,2026-06-11_10-15-51
,NEW,Data/Robot Operator (Teleops)(human),Munich,2026-06-12_15-48-14
,NEW,Event Manager (human),Metzingen,2026-06-12_15-48-14
,NEW,Senior Mechanical Engineer – Mobile Robotics (human),Metzingen,2026-06-12_15-48-14
,NEW,Robot Mechanical and Simulation Engineer (URDF/Digital Twin) - Humanoid (human),Zurich,2026-06-12_15-48-14
,NEW,Group Lead – Cybersecurity Engineering (human),Metzingen,2026-06-12_15-48-14
,NEW,Senior Account Executive remote (human),Detroit,2026-06-15_14-35-24
2026-06-18,NO_CHANGES,-,-,2026-06-18_11-08-22
2026-06-18,NO_CHANGES,-,-,2026-06-18_11-09-50
2026-06-19,NO_CHANGES,-,-,2026-06-19_09-14-13
2026-06-23,NO_CHANGES,-,-,2026-06-23_08-47-08
2026-06-25,NO_CHANGES,-,-,2026-06-25_09-16-18
2026-06-26,NEW,AI Data Annotation Specialist (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,AI Data Engineer (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,AI Engineering Intern (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,"AI, PLA & NeuraGym Demo Coordinator (human)",Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,"AI, PLA & NeuraGym Performance Manager (Human)",Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,"AI, PLA & NeuraGym Strategist (human)",Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Agentic AI Engineer (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Data/Robot Operator Intern (Teleops) (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Group Lead AI Engineering (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,MLOps Engineer (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,NeuraGym Location Scout (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Reinforcement Learning Research Scientist for Dexterous Manipulation (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Robot Perception Expert (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Robotic Foundation Model Engineer (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Robotics Simulation Expert (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Senior Manipulation Engineer - Mobile Robotics (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Teleoperation Software Engineer - NEURAGym (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Data/Robot Operator Intern (Teleops)(human),Munich,2026-06-26_11-46-27
2026-06-26,NEW,Group Lead AI Engineering - RoboGym (human),Munich,2026-06-26_11-46-27
2026-06-26,NEW,Group Lead Data Operations (human),Munich,2026-06-26_11-46-27
2026-06-26,NEW,Robotic Foundation Model Engineer - RoboGym (human),Munich,2026-06-26_11-46-27
2026-06-26,NEW,Reinforcement Learning Expert - Humanoid (human),Zurich,2026-06-26_11-46-27
2026-06-26,NEW,Vision & Perception Engineer - Humanoid (human),Zurich,2026-06-26_11-46-27
2026-06-26,NEW,Finance Manager (human),Detroit,2026-06-26_11-46-27
2026-06-26,NEW,IT Modern Workplace Administrator (human),Detroit,2026-06-26_11-46-27
2026-06-26,NEW,AI Automation Engineer People & Culture (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,AI Business Integrator (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,BC Consultant - Microsoft Dynamics 365 Business Central (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Business Central Developer - Microsoft Dynamics 365 (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Business Partner People & Culture (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,CEO Office Intern (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,ERP & Business Applications Intern (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,First Level Support (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Intern COO Office / Project Management (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Jurist (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Legal Intern (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Linux Infrastructure Engineer (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Manager Business Artificial Intelligence (Human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Modern Workplace Administrator (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Patent Attorney / Patent Engineer (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,People & Culture Operations Expert (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,People Development & Culture Manager (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,People and Culture Operations - Admin (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Project Manager - COO Office / Production Scaling & Operations Excellence (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Project Manager Strategy (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Technical Recruiter (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Treasury Manager (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Linux Infrastructure Engineer - RoboGym (human),Munich,2026-06-26_11-46-27
2026-06-26,NEW,Network Engineer (human),Munich,2026-06-26_11-46-27
2026-06-26,NEW,CAD / PLM System Administrator (human),Zurich,2026-06-26_11-46-27
2026-06-26,NEW,Head of Business Development (human),Detroit,2026-06-26_11-46-27
2026-06-26,NEW,(Senior) Concept Engineer - (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Account Executive (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Concept Engineer (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Key Account Manager (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Manager Ecosystem Integration & Certification (human),Metzingen,2026-06-26_11-46-27
2026-06-26,NEW,Pre Sales / Solution Manager (human),Metzingen,2026-06-26_11-46-27
