title,location,company,department,link,scrape_timestamp
Group Lead AI Engineering - NEURAGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDFhYzYzYTQtYTdjNy00ZmUyLThmNGEtMWU2NDVkMGM2N2Ew&showApplicationForm=false,2026-09-04_14-46-58
Group Lead Robotics Service & Maintenance - NEURAGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MmRiNzczYTUtMmU0Zi00Y2JjLWJiZDQtYmNkMGQ0YjQ5YmEy&showApplicationForm=false,2026-09-04_14-46-58
Physical AI Data Operations Expert (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OTAzNzJiZWMtZWFkNi00MTMzLTgxNTItNGJiYzgyZGQzNDJl&showApplicationForm=false,2026-09-04_14-46-58
Physical AI Trainer - RoboGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MDA3OGFhZGUtOGIxMS00MzU3LTk3NjQtZDU3ZmYyNDU1Y2Qx&showApplicationForm=false,2026-09-04_14-46-58
Teamlead AI Engineering - NEURAGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NTc1N2VkYzQtNDNhZi00NTIxLThkODAtYzY4ZWZjMGI2ZGMy&showApplicationForm=false,2026-09-04_14-46-58
Teamlead AI Engineering - NeuraGym (human),Aachen,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=NTFjODNmZWMtODZhZS00ZWI4LWFkZDEtOTkxMDc4Y2Y5ZTNj&showApplicationForm=false,2026-09-04_14-46-58
(Senior) Robotics AI Engineer – Training & Deployment (Physical AI) (human),Munich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZTA2NjZjODUtZGNiMi00NjA2LWFjNmYtNTZjOWE1OGIzY2Nm&showApplicationForm=false,2026-09-04_14-46-58
AI Manipulation Engineer (human),Munich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=MzNlMTZkODQtNGJjZC00ZDQ1LTk4OTEtMzdlOWUzODFjN2M4&showApplicationForm=false,2026-09-04_14-46-58
Robot Operator (human),Munich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=ZjRmNzZmMzctOWQwOS00NDg2LWE0MjUtOTYzMGEzMDQxYTJi&showApplicationForm=false,2026-09-04_14-46-58
AI Data Annotation Specialist (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=YWU3NDJjNDMtNjMwMS00ZGNjLWI4MjUtNTA2Njg4MDc0NTdh&showApplicationForm=false,2026-09-04_14-46-58
AI Data Engineer (human),Riederich,Neura Robotics,AI,https://jobs.neura-robotics.com/offer-redirect/?offerApiId=OTg1ZjdlZmQtZGIxYy00MmZmLThlODktMmNkOGJlYzc0NTg2&showApplicationForm=false,2026-09-04_14-46-58
