title,location,company,department
Group Lead Data Operations (human),Munich,Neura Robotics,AI
Head of Business Development (human),Detroit,Neura Robotics,Growth
Patent Attorney / Patent Engineer (human),Metzingen,Neura Robotics,Corporate
Application Engineer Automation (human),Metzingen,Neura Robotics,Software
Senior Electric Motor Design Engineer - Humanoid (human),Zurich,Neura Robotics,Hardware
(Senior) Concept Engineer - (human),Metzingen,Neura Robotics,Growth
BC Consultant - Microsoft Dynamics 365 Business Central (human),Metzingen,Neura Robotics,Corporate
Functional Safety Engineer - Robotics (human),Metzingen,Neura Robotics,Software
Robotic Foundation Model Engineer - RoboGym (human),Munich,Neura Robotics,AI
Quality Engineer - Manufacturing of Robotic Systems (human),Metzingen,Neura Robotics,Production
Robotics Control Engineer (human),Metzingen,Neura Robotics,Software
Robotics Middleware Engineer (human),Metzingen,Neura Robotics,Software
Send Us Your CV (human),Metzingen,Neura Robotics,Unsolicited Application
Production Team Lead – Commissioning of Humanoid Robots (human),Metzingen,Neura Robotics,Production
Treasury Manager (human),Metzingen,Neura Robotics,Corporate
Senior Account Executive remote (human),Munich,Neura Robotics,Growth
Senior Ecommerce Manager (human),Munich,Neura Robotics,Growth
Production Engineer for Robotic Systems (human),Metzingen,Neura Robotics,Production
Senior Manipulation Engineer - Mobile Robotics (human),Metzingen,Neura Robotics,AI
Finance Manager (human),Detroit,Neura Robotics,Corporate
Jurist (human),Metzingen,Neura Robotics,Corporate
Robot Platform Engineer (human),Munich,Neura Robotics,Software
Robot Perception Expert (human),Metzingen,Neura Robotics,AI
MLOps Engineer (human),Metzingen,Neura Robotics,AI
People and Culture Operations - Admin (human),Metzingen,Neura Robotics,Corporate
Content Platform & Toolchain Engineer (human),Metzingen,Neura Robotics,Product
"Training Engineer – NeuraPy AI API, ROS & Applications (human)",Metzingen,Neura Robotics,Service & Academy
"Dynamics, System Identification & Estimation Engineer - PLA (human)",Metzingen,Neura Robotics,Software
Manager Ecosystem Integration & Certification (human),Metzingen,Neura Robotics,Growth
Project Manager Smart Factory (human),Metzingen,Neura Robotics,Production
Pre Sales / Solution Manager (human),Metzingen,Neura Robotics,Growth
Senior Key Account Manager (human),Munich,Neura Robotics,Growth
Test Engineer — Dexterous Humanoid Hand (human),Munich,Neura Robotics,Software
Production Planner (human),Metzingen,Neura Robotics,Production
Quality Engineer - Humanoid (Human),Metzingen,Neura Robotics,Quality
NeuraGym Location Scout (human),Metzingen,Neura Robotics,AI
Group Lead System Development (human),Metzingen,Neura Robotics,Software
Robot Client SDK Engineer (human),Metzingen,Neura Robotics,Software
Cloud Foundations Engineer - Account & Landing Zone (human),Metzingen,Neura Robotics,Software
AI Data Engineer (human),Metzingen,Neura Robotics,AI
Project Buyer Mechanics (human),Metzingen,Neura Robotics,Supply Chain
Vision & Perception Engineer - Humanoid (human),Zurich,Neura Robotics,AI
Quality Problem Solving Expert (human),Metzingen,Neura Robotics,Quality
Cloud Architect - NeuraGYM (human),Metzingen,Neura Robotics,Software
Data/Robot Operator Intern (Teleops)(human),Munich,Neura Robotics,AI
Account Executive (human) - remote,Munich,Neura Robotics,Growth
Quality Engineer – Field Return Analysis (human),Metzingen,Neura Robotics,Quality
Quality Project Manager (human),Metzingen,Neura Robotics,Quality
Technical Recruiter (human),Metzingen,Neura Robotics,Corporate
Technical Writer - Docs-as-Code and Software Documentation (Human),Metzingen,Neura Robotics,Product
3D Artist / Generalist (human),Metzingen,Neura Robotics,Marketing
Supply Chain Operations Intern (human),Metzingen,Neura Robotics,Production
Product Owner (human) - NeuraGym Platform and Integration,Metzingen,Neura Robotics,Product
Robot Client SDK Engineer (human),Munich,Neura Robotics,Software
Electrical Engineer in Robotics Manufacturing (human),Metzingen,Neura Robotics,Production
Senior GTM Commercial Manager (human),Metzingen,Neura Robotics,Growth
Legal Intern (human),Metzingen,Neura Robotics,Corporate
Robotics Exterior Technical Designer - Humanoid (human),Zurich,Neura Robotics,Hardware
People Development & Culture Manager (human),Metzingen,Neura Robotics,Corporate
Senior UI/UX Designer (human),Metzingen,Neura Robotics,Software
Service Expert (human),Metzingen,Neura Robotics,Service & Academy
Buyer (human),Metzingen,Neura Robotics,Supply Chain
Robotics Simulation Expert (human),Metzingen,Neura Robotics,AI
Engineering Manager (human),Metzingen,Neura Robotics,Software
Marketing Manager (human),Detroit,Neura Robotics,Marketing
Tech Lead — Robot Communication & Connectivity (human),Metzingen,Neura Robotics,Software
Senior Project Manager (human),Metzingen,Neura Robotics,Product
"AI, PLA & NeuraGym Performance Manager (Human)",Metzingen,Neura Robotics,AI
Team Lead UI/UX Design (human),Metzingen,Neura Robotics,Software
Training Engineer – NeuraPy & External Device Integration (human),Metzingen,Neura Robotics,Service & Academy
Content Platform & Toolchain Engineer(human),Metzingen,Neura Robotics,Product
Group Lead AI Engineering (human),Metzingen,Neura Robotics,AI
Project Manager - NeuraGym Global Roll-out (human),Metzingen,Neura Robotics,Product
People & Culture Operations Expert (human),Metzingen,Neura Robotics,Corporate
"AI, PLA & NeuraGym Demo Coordinator (human)",Metzingen,Neura Robotics,AI
Design Engineer - Manufacturing Optimization of Robotic Systems (human),Metzingen,Neura Robotics,Production
Agentic AI Engineer (human),Metzingen,Neura Robotics,AI
RT & Kernel Engineer (human),Zurich,Neura Robotics,Software
SDR (Sales Development Representative) - (human),Metzingen,Neura Robotics,Growth
Concept Engineer (human),Munich,Neura Robotics,Growth
"AI, PLA & NeuraGym Strategist (human)",Metzingen,Neura Robotics,AI
Head of Business Unit - Arms (human),Metzingen,Neura Robotics,Product
Network Engineer (human),Munich,Neura Robotics,Corporate
Certification Coordinator (human),Metzingen,Neura Robotics,Software
Project Manager - COO Office / Production Scaling & Operations Excellence (human),Metzingen,Neura Robotics,Corporate
Senior Key Account Manager (human),Metzingen,Neura Robotics,Growth
Senior Product GTM Manager (human),Metzingen,Neura Robotics,Growth
Prototype & Cabling Engineer (human),Metzingen,Neura Robotics,Hardware
(Senior) Concept Engineer - (human),Munich,Neura Robotics,Growth
AI Data Annotation Specialist (human),Metzingen,Neura Robotics,AI
Produktionsmitarbeiter (human),Metzingen,Neura Robotics,Production
Software Engineering Intern (human),Metzingen,Neura Robotics,Software
Account Executive (human),Metzingen,Neura Robotics,Growth
Logistics Planner (human),Metzingen,Neura Robotics,Production
"Advanced Materials Engineer, Humanoid Systems (human)",Metzingen,Neura Robotics,Hardware
Project Director Cloud (human),Metzingen,Neura Robotics,Growth
ERP & Business Applications Intern (human),Metzingen,Neura Robotics,Corporate
CAD / PLM System Administrator (human),Zurich,Neura Robotics,Corporate
Event Marketing Internship (human),Metzingen,Neura Robotics,Marketing
Robot Platform Engineer (human),Zurich,Neura Robotics,Software
Tech Lead — Robot Systems & Integration (human),Metzingen,Neura Robotics,Software
Junior Training Engineer (human),Metzingen,Neura Robotics,Service & Academy
Firmware Engineer — Dexterous Hand Systems (human),Munich,Neura Robotics,Software
Business Partner People & Culture (human),Metzingen,Neura Robotics,Corporate
GPU Cluster Engineer (human),Metzingen,Neura Robotics,Software
Key Account Manager (human),Munich,Neura Robotics,Growth
CEO Office Intern (human),Metzingen,Neura Robotics,Corporate
Mechanical Technician - Humanoid (human),Zurich,Neura Robotics,Hardware
