id,source_id,change,title,location,observed_at
rocket-factory-augsburg:4828781101,rocket-factory-augsburg,new,Assembly Technician (f/m/d) – Shetland UK,"Shetland Islands, Scotland, United Kingdom",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4828814101,rocket-factory-augsburg,new,Avionics Engineer - Design (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4829285101,rocket-factory-augsburg,new,Avionics Hardware Technician (f/m/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4914898101,rocket-factory-augsburg,new,Avionics Quality Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4823908101,rocket-factory-augsburg,new,CNC Operator (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4947288101,rocket-factory-augsburg,new,Composite Production Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4960166101,rocket-factory-augsburg,new,Contracts Manager (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4933765101,rocket-factory-augsburg,new,Development Engineer - Orbital Stage (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4978745101,rocket-factory-augsburg,new,Development Engineer - Valves (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4845549101,rocket-factory-augsburg,new,Einkäufer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4843587101,rocket-factory-augsburg,new,Electrical Technician - UK/Shetlands,"Shetland Islands, Scotland, United Kingdom",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4828946101,rocket-factory-augsburg,new,Engine Assembly Technician (m/f/d) - Rocket Engines,"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4826223101,rocket-factory-augsburg,new,EWIS Design Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4969536101,rocket-factory-augsburg,new,GNC Test Engineer (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4954683101,rocket-factory-augsburg,new,Group Lead UK Test Site (m/f/d),"Inverness, Highland, United Kingdom",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4944342101,rocket-factory-augsburg,new,Harness & Electrical Assembly Technician (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4947686101,rocket-factory-augsburg,new,Head of Production (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4943429101,rocket-factory-augsburg,new,Head of Quality (f/m/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4944174101,rocket-factory-augsburg,new,Institutional Project Manager (m/f/d),"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4960147101,rocket-factory-augsburg,new,Inter (m/f/d) Supply Chain Coordinator,"Shetland Islands, Scotland, United Kingdom",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4826694101,rocket-factory-augsburg,new,Intern (f/m/d) Avionics Production,"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
rocket-factory-augsburg:4826227101,rocket-factory-augsburg,new,Intern (f/m/d) Simulation Engineer Mission Analysis,"Augsburg, Bavaria, Germany",2026-09-22T12:21:44.793831Z
