date,change_type,title,location,timestamp
2026-09-04,NEW,"Accountant, Revenue","Palo Alto, CA",2026-09-04_16-24-41
2026-09-04,NEW,"Accountant, Revenue","Hawthorne, CA",2026-09-04_16-24-41
2026-09-04,NEW,"Accountant, Revenue","Hawthorne, CA",2026-09-04_16-24-41
2026-09-14,NEW,"Accountant, AI Operations","Palo Alto, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Account Lead, Starlink Strategic Connectivity","Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Account Lead, Starlink Strategic Connectivity","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Account Manager, Starlink Strategic Connectivity","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Account Manager, Starlink Strategic Connectivity","Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Accounts Payable Specialist,"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Account Specialist, Starlink Enterprise Account Management (Aviation)","Woodinville, WA",2026-09-14_15-29-45
2026-09-14,NEW,Additive Manufacturing Specialist (Starlink Development),"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Additive Technician (Raptor),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Aerodynamics Engineer (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"AI Engineer, Special Programs - Top Secret Clearance","Palo Alto, CA",2026-09-14_15-29-45
2026-09-14,NEW,"AI Engineer, Special Programs - Top Secret Clearance","Washington, DC",2026-09-14_15-29-45
2026-09-14,NEW,AI Security Software Engineer (Starshield),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,AI Security Software Engineer (Starshield),"Washington, DC",2026-09-14_15-29-45
2026-09-14,NEW,AI Software Engineer (Vehicle Engineering),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,AMS Verification Engineer (RFIC Engineering),"Irvine, CA",2026-09-14_15-29-45
2026-09-14,NEW,AMS Verification Engineer (RFIC Engineering),"Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,Antenna Engineer - Parabolic & Waveguide (Starlink),"Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,"Antenna Engineer, Satellites (Starlink)","Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,Antenna Engineer (Starlink),"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Antenna Engineer (Starlink Mobile),"Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,Antenna Engineer (Starship),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Application Software Engineer,"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Application Software Engineer,"Cape Canaveral, FL",2026-09-14_15-29-45
2026-09-14,NEW,Application Software Engineer,"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Application Software Engineer,"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Application Software Engineer,"Palo Alto, CA",2026-09-14_15-29-45
2026-09-14,NEW,Application Software Engineer,"Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Applied AI","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Applied AI","Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Applied AI","Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Applied AI","McGregor, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Applied AI","Vandenberg, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Applied AI","Cape Canaveral, FL",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Applied AI","Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Employee Experience","Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Internal Systems","Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Application Software Engineer, Manufacturing Systems","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Application Software Engineer - Memphis,"Memphis, TN",2026-09-14_15-29-45
2026-09-14,NEW,Apprentice Controls Technician,"McGregor, TX",2026-09-14_15-29-45
2026-09-14,NEW,Apprentice Controls Technician - 2nd Shift,"McGregor, TX",2026-09-14_15-29-45
2026-09-14,NEW,Apprentice Fabrication Technician - 2nd Shift,"McGregor, TX",2026-09-14_15-29-45
2026-09-14,NEW,Apprentice Weld Support Technician,"McGregor, TX",2026-09-14_15-29-45
2026-09-14,NEW,Architectural Designer,"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Architectural Project Manager,"McGregor, TX",2026-09-14_15-29-45
2026-09-14,NEW,Architectural Project Manager,"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,ASIC/SOC DFT Engineer (Silicon Engineering),"Palo Alto, CA",2026-09-14_15-29-45
2026-09-14,NEW,ASIC/SOC DFT Engineer (Silicon Engineering),"Austin, TX",2026-09-14_15-29-45
2026-09-14,NEW,Assembly Engineering Specialist (Starlink),"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Automated Welding Technician (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation and Controls Engineer, AI Satellites (Starmind)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation Build Engineer, Development (Starlink)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Engineer, Assembly Manufacturing (Starlink)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Engineer (Asset Engineering),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Engineer (Facilities),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Engineer, Infrastructure & Utility (Starship)","Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Engineer, Insource Manufacturing (Starlink)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Engineer, Launch Pad (Starship)","Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Engineer (Raptor Manufacturing Systems),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Engineer, Solar Cell Factory (Starlink)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Engineer, Solar (Starlink)","Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Engineer (Starlink),"Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Engineer (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Engineer (Starship Launch Hardware),"Cape Canaveral, FL",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Specialist, Assembly Manufacturing (Starlink)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Specialist, Infrastructure & Utility (Starship) - Level 4/5","Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Specialist, PCB Manufacturing (Starlink)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Specialist, Silicon Process Manufacturing (Starlink)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Specialist, Solar Cell Manufacturing (Starlink)","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Specialist (Starlink Development),"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Specialist (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Specialist (Starship),"Cape Canaveral, FL",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Specialist (Starship) - Night Shift,"Cape Canaveral, FL",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Specialist, Tool & Die - 2nd Shift","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation & Controls Technician, Infrastructure & Utility (Starship)","Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Automation & Controls Technician (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Automation Engineer, Blades and Vanes Foundry","Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,"AV Administrator, Events & Experiences","Palo Alto, CA",2026-09-14_15-29-45
2026-09-14,NEW,"AV Administrator, Events & Experiences","Cape Canaveral, FL",2026-09-14_15-29-45
2026-09-14,NEW,"AV Administrator, Events & Experiences","Austin, TX",2026-09-14_15-29-45
2026-09-14,NEW,Aviation Certification Engineer (Starlink),"Woodinville, WA",2026-09-14_15-29-45
2026-09-14,NEW,"Aviation Development Engineer, Networking (Starlink)","Woodinville, WA",2026-09-14_15-29-45
2026-09-14,NEW,Aviation Development Engineer (Starlink),"Woodinville, WA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Build Associate (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Harness Technician (Starlink Aviation),"Woodinville, WA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Integration & Test Engineer (Starshield),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Integration & Test Technician (Starship) - Night Shift,"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Manufacturing Engineer,"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Manufacturing Engineer (PCBA),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Avionics System Engineer, HITL (Starfall)","Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Systems Engineer (Falcon & Dragon),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Systems Engineer (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Technician (Falcon & Dragon),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Test Engineer (Starfall),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Test Engineer (Starshield),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Test Engineer (Starship),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Avionics Wire Harness Technician (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,AV Technician,"Cape Canaveral, FL",2026-09-14_15-29-45
2026-09-14,NEW,Barista,"Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,Barista,"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Barista - Temporary,"Anderson, TX",2026-09-14_15-29-45
2026-09-14,NEW,Barista - Temporary (Bastrop),"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Barista - Temporary (Cape Canaveral),"Cape Canaveral, FL",2026-09-14_15-29-45
2026-09-14,NEW,Barista - Temporary (Starbase),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Bastrop Campus Planning Manager,"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Bastrop Site Expansion Manager,"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Battery Engineer (Falcon & Dragon),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,"Battery Test Engineer, Satellites (Starlink)","Redmond, WA",2026-09-14_15-29-45
2026-09-14,NEW,BAW Device Engineer (Starlink/Akoustis),"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,BAW Filter Design Engineer (Starlink/Akoustis),"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,Benefits Analyst (Leave Administration),"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,Benefits Coordinator,"Hawthorne, CA",2026-09-14_15-29-45
2026-09-14,NEW,BIM Specialist,"Bastrop, TX",2026-09-14_15-29-45
2026-09-14,NEW,BIM Specialist (Electrical Systems Modeling),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,Build Coordinator (Starship),"Starbase, TX",2026-09-14_15-29-45
2026-09-14,NEW,"Build Engineer, COPVS (Starship)","Westminster, MD",2026-09-14_15-29-45
2026-09-14,NEW,Build Engineer (Enterprise Products),"Redmond, WA",2026-09-14_15-29-45
