date,change_type,title,location,timestamp
2026-06-18,NO_CHANGES,-,-,2026-06-18_11-08-40
2026-06-23,NO_CHANGES,-,-,2026-06-23_13-35-16
2026-06-26,NO_CHANGES,-,-,2026-06-26_08-55-55
2026-06-26,NEW,"AI Engineer, Manipulation, Optimus","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Reinforcement Learning Engineer, Self-Driving","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"AI Engineer, Geometric Vision, Tesla AI","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Reinforcement Learning Engineer, Policy, Optimus","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Software Engineer, Generalist, AI Inference","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Software Engineer, Inference Infrastructure","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Duales Studium - Elektrotechnik, Schwerpunkt Automatisierungstechnik (m/w/d) 2026","Reutlingen, Baden-württemberg",2026-06-26_10-55-52
2026-06-26,NEW,Werkstudent für den Bereich Systems Concept Development/ Layout – und Konzepterstellung (m/w/d),"Reutlingen, Baden-württemberg",2026-06-26_10-55-52
2026-06-26,NEW,Ausbildung Fachkraft für Lagerlogistik (m/w/d) 2026,"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Werkstudent für den Bereich Layoutdesign (m/w/d),"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Schülerpraktikum Neutraubling,"Neutraubling, Bavaria",2026-06-26_10-55-52
2026-06-26,NEW,Schülerpraktikum Reutlingen,"Reutlingen, Baden-württemberg",2026-06-26_10-55-52
2026-06-26,NEW,Ausbildungsintegrierte duale Studium Maschinenbau (m/w/d) - Schwerpunkt Konstruktion 2026,"Reutlingen, Baden-württemberg",2026-06-26_10-55-52
2026-06-26,NEW,Ausbildung Technisches Produktdesign - Fachrichtung Maschinen- und Anlagenkonstruktion Prüm (m/w/d) 2026,"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Werkstudent Controlling (m/w/d),"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Ausbildung Industriemechanik (m/w/d) 2026,"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Werkstudent/in Visa & Travel Operations  (m/w/d),"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Werkstudent/in Einkauf (m/w/d),"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Werkstudent für den Bereich Systems Concept Development/ Layout – und Konzepterstellung (m/w/d),"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,"Ausbildungsintegriertes duales Studium - Elektrotechnik, Schwerpunkt Automatisierungstechnik (m/w/d) 2026","Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Schülerpraktikum Neuwied,"Neuwied, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Duales Studium Informatik (m/w/d),"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Elektrofachkraft / Elektriker (w/m/d) als DGUV V3 Prüfer - Gigafactory Berlin-Brandenburg,"Grünheide (mark), Brandenburg",2026-06-26_10-55-52
2026-06-26,NEW,"Business Development Manager, Residential Energy Products","Melbourne, Victoria",2026-06-26_10-55-52
2026-06-26,NEW,"Business Development Manager, Residential Energy Products","Alexandria, New South Wales",2026-06-26_10-55-52
2026-06-26,NEW,"Regional Supervisor, Tesla Support - Dubai","Dubai, Dubai",2026-06-26_10-55-52
2026-06-26,NEW,"Residential Technical Training Specialist, ANZ","Alexandria, New South Wales",2026-06-26_10-55-52
2026-06-26,NEW,Ausbildung Elektroniker für Betriebstechnik (m/w/d) 2026,"Prüm, Rhineland-palatinate",2026-06-26_10-55-52
2026-06-26,NEW,Lease Administration & Payment Specialist (12 Month Contract),"Alexandria, New South Wales",2026-06-26_10-55-52
2026-06-26,NEW,"Internship, Software Engineer, Service Engineering (Summer 2026)","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Test Specialist, Self-Driving (Afternoon Shift)","Marina Del Rey, California",2026-06-26_10-55-52
2026-06-26,NEW,"EHS Intern (6months Contract), Dongtan, Korea",Hwaseong-si,2026-06-26_10-55-52
2026-06-26,NEW,Body Repair Operations Lead – Australia & New Zealand,"Melbourne, Victoria",2026-06-26_10-55-52
2026-06-26,NEW,"Manufacturing Engineer, Process Development, Energy Products","Austin, Texas",2026-06-26_10-55-52
2026-06-26,NEW,"Internship, Field Quality Engineer, Energy Engineering (Fall 2026)","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Software Engineer, Agentic Tooling, Tesla AI","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Supply Chain Manager, Manufacturing CapEx","Sparks, Nevada",2026-06-26_10-55-52
2026-06-26,NEW,ESD Program Manager,"Fremont, California",2026-06-26_10-55-52
2026-06-26,NEW,"Sr. Product Manager, Certified Service Provider, Energy Services","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,Sr. EHS Specialist,"Sparks, Nevada",2026-06-26_10-55-52
2026-06-26,NEW,Detailer,"Mcclellan Park, California",2026-06-26_10-55-52
2026-06-26,NEW,Desktop Support Technician,"Cyberjaya, Selangor",2026-06-26_10-55-52
2026-06-26,NEW,"Sr. Fleet Software Engineer, Energy Products","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Facilities Electrician, Megafactory","Brookshire, Texas",2026-06-26_10-55-52
2026-06-26,NEW,"Facilities Spares Technician, Megafactory","Brookshire, Texas",2026-06-26_10-55-52
2026-06-26,NEW,"Structural Engineer, Infrastructure Programs","Austin, Texas",2026-06-26_10-55-52
2026-06-26,NEW,Cafe Assistant,"Sparks, Nevada",2026-06-26_10-55-52
2026-06-26,NEW,Training Coordinator,"Sparks, Nevada",2026-06-26_10-55-52
2026-06-26,NEW,"Material Handler, Powertrain","Sparks, Nevada",2026-06-26_10-55-52
2026-06-26,NEW,"Vehicle Technician, Adelaide","Adelaide Airport, South Australia",2026-06-26_10-55-52
2026-06-26,NEW,"Production Associate, Cybercab, Drive Unit","Austin, Texas",2026-06-26_10-55-52
2026-06-26,NEW,"Manufacturing Engineering Technician,  Cell Engineering","Austin, Texas",2026-06-26_10-55-52
2026-06-26,NEW,"Managing Counsel, Intellectual Property","Palo Alto, California",2026-06-26_10-55-52
2026-06-26,NEW,"Manufacturing Technician, Cell Electrode","Austin, Texas",2026-06-26_10-55-52
2026-06-26,NEW,"Manufacturing Technician, Cell Assembly","Austin, Texas",2026-06-26_10-55-52
2026-06-26,NEW,Sr. Employee Engagement Specialist,"Buffalo, New York",2026-06-26_10-55-52
2026-06-26,NEW,Sr. Employee Engagement Specialist,"Sparks, Nevada",2026-06-26_10-55-52
2026-06-26,NEW,Sr. Employee Engagement Specialist,"Fremont, California",2026-06-26_10-55-52
2026-06-26,NEW,"Staff Process Engineer, Energy, Powerwall","Sparks, Nevada",2026-06-26_10-55-52
2026-06-26,NEW,"Sr. Software Engineer, Supply Chain Applications","Fremont, California",2026-06-26_10-55-52
2026-06-26,NEW,Collision Manager,"Camp Hill, Pennsylvania",2026-06-26_10-55-52
2026-06-26,NEW,Quality Inventory Specialist,"Austin, Texas",2026-06-26_10-55-52
2026-06-26,NEW,"Technical Recruiter, Manufacturing Engineering","Brookshire, Texas",2026-06-26_10-55-52
