title,location,company,department,link,mission,requirements,benefits,scrape_timestamp
"AI Engineer, Manipulation, Optimus","Palo Alto, California",Tesla,Tesla AI,https://www.tesla.com/careers/search/job/224501,"Go to search
AI Engineer, Manipulation, Optimus
Job Category Tesla AI
Location Palo Alto, California
Req. ID 224501
Job Type Full-time
What to Expect
Tesla AI is solving robust embodied intelligence through humanoid robots. Core to this is the manipulation stack, which presents a unique opportunity to work on state-of-the-art algorithms for object manipulation culminating in their deployment to real world production applications. Our robotic manipulation software engineers develop and own this stack from inception to deployment. Most importantly, you will see your work repeatedly shipped to and utilized by thousands of Humanoid Robots in real world applications.
What You’ll Do
Design and develop our learned robotic manipulation software stack and algorithms
Develop robotic manipulation capabilities including but not limited to (re)grasping, pick-and-place, and more dexterous behaviors to enable useful work in both structured and unstructured environments
Model robotic manipulation processes to enable analysis, simulation, planning, and controls
Reason about uncertainty due to measurements and physical interaction with the environment, and develop algorithms that adapt well to imper","Go to search
AI Engineer, Manipulation, Optimus
Job Category Tesla AI
Location Palo Alto, California
Req. ID 224501
Job Type Full-time
What to Expect
Tesla AI is solving robust embodied intelligence through humanoid robots. Core to this is the manipulation stack, which presents a unique opportunity to work on state-of-the-art algorithms for object manipulation culminating in their deployment to real world production applications. Our robotic manipulation software engineers develop and own this stack from inception to deployment. Most importantly, you will see your work repeatedly shipped to and utilized by thousands of Humanoid Robots in real world applications.
What You’ll Do
Design and develop our learned robotic manipulation software stack and algorithms
Develop robotic manipulation capabilities including but not limited to (re)grasping, pick-and-place, and more dexterous behaviors to enable useful work in both structured and unstructured environments
Model robotic manipulation processes to enable analysis, simulation, planning, and controls
Reason about uncertainty due to measurements and physical interaction with the environment, and develop algorithms that adapt well to imper",,2026-06-17_16-40-21
"Reinforcement Learning Engineer, Self-Driving","Palo Alto, California",Tesla,Tesla AI,https://www.tesla.com/careers/search/job/221945,"Go to search
Reinforcement Learning Engineer, Self-Driving
Job Category Tesla AI
Location Palo Alto, California
Req. ID 221945
Job Type Full-time
What to Expect
Tesla is looking for strong Machine Learning Engineers to help build foundation models for robotics to drive the future of autonomy across all current and future generations of vehicles. You will work on a lean team without boundaries and have access to one of the world’s largest training clusters. Most importantly, you will see your work repeatedly shipped to and utilized by millions of Tesla’s customers.
What You’ll Do
Leverage millions of miles of driving data and interventions to build a robust and scalable end-to-end learning based self-driving system
Use cutting-edge techniques from generative modeling, imitation learning, and reinforcement learning to improve the planning and reasoning capabilities of our driving models 
Experiment with data generation and fleet data collection approaches to enhance the diversity and quality of training data
Integrate directly with vehicle firmware and ship production quality, safety-critical software to the entirety of Tesla's vehicle fleet
What You’ll Bring
Strong experience with P","Go to search
Reinforcement Learning Engineer, Self-Driving
Job Category Tesla AI
Location Palo Alto, California
Req. ID 221945
Job Type Full-time
What to Expect
Tesla is looking for strong Machine Learning Engineers to help build foundation models for robotics to drive the future of autonomy across all current and future generations of vehicles. You will work on a lean team without boundaries and have access to one of the world’s largest training clusters. Most importantly, you will see your work repeatedly shipped to and utilized by millions of Tesla’s customers.
What You’ll Do
Leverage millions of miles of driving data and interventions to build a robust and scalable end-to-end learning based self-driving system
Use cutting-edge techniques from generative modeling, imitation learning, and reinforcement learning to improve the planning and reasoning capabilities of our driving models 
Experiment with data generation and fleet data collection approaches to enhance the diversity and quality of training data
Integrate directly with vehicle firmware and ship production quality, safety-critical software to the entirety of Tesla's vehicle fleet
What You’ll Bring
Strong experience with P",,2026-06-17_16-40-26
"AI Engineer, Geometric Vision, Tesla AI","Palo Alto, California",Tesla,Tesla AI,https://www.tesla.com/careers/search/job/226545,"Go to search
AI Engineer, Geometric Vision, Tesla AI
Job Category Tesla AI
Location Palo Alto, California
Req. ID 226545
Job Type Full-time
What to Expect
Join the Tesla AI team to help shape one of the most advanced and widely-deployed AI systems in the world. As a key contributor, you will drive innovation in World Model and Physical AI development, tackling challenges related to 3D perception and Neural Simulation.
What You’ll Do
Design and develop 3D foundation models and world models leveraging fleet data 
Design and develop automated data generation pipelines that create various high quality ground truth data for real-world perception problems 
Deploy and scale your work across millions of autonomous cars and bots worldwide 
Collaborate closely with a high-caliber team dedicated to realizing full autonomy
What You’ll Bring
Proven ability to rapidly prototype and optimize algorithms 
Proficiency in writing production-quality code in Python 
Proficiency in C++ is desirable Solid understanding of deep learning, linear algebra, geometry, and probabilistic theory, with hands-on implementation experience 
Expertise in key areas of computer vision and robotics, such as feedforward 3","Go to search
AI Engineer, Geometric Vision, Tesla AI
Job Category Tesla AI
Location Palo Alto, California
Req. ID 226545
Job Type Full-time
What to Expect
Join the Tesla AI team to help shape one of the most advanced and widely-deployed AI systems in the world. As a key contributor, you will drive innovation in World Model and Physical AI development, tackling challenges related to 3D perception and Neural Simulation.
What You’ll Do
Design and develop 3D foundation models and world models leveraging fleet data 
Design and develop automated data generation pipelines that create various high quality ground truth data for real-world perception problems 
Deploy and scale your work across millions of autonomous cars and bots worldwide 
Collaborate closely with a high-caliber team dedicated to realizing full autonomy
What You’ll Bring
Proven ability to rapidly prototype and optimize algorithms 
Proficiency in writing production-quality code in Python 
Proficiency in C++ is desirable Solid understanding of deep learning, linear algebra, geometry, and probabilistic theory, with hands-on implementation experience 
Expertise in key areas of computer vision and robotics, such as feedforward 3",,2026-06-17_16-40-30
"Reinforcement Learning Engineer, Policy, Optimus","Palo Alto, California",Tesla,Tesla AI,https://www.tesla.com/careers/search/job/222416,"Go to search
Reinforcement Learning Engineer, Policy, Optimus
Job Category Tesla AI
Location Palo Alto, California
Req. ID 222416
Job Type Full-time
What to Expect
Tesla AI is solving robust embodied intelligence through humanoid robots. The goal of our reinforcement learning team is to build and demonstrate a general robot learning system that can leverage AI to perform complex physical tasks, ranging from full body locomotion, precise manipulation, and more. Our reinforcement and imitation learning engineers are responsible for end-to-end robotic learning and own this stack from inception to deployment. Most importantly, you will see your work repeatedly shipped to and utilized by thousands of humanoid robots in real world applications. 
What You’ll Do
Develop end-to-end robotic learning with either reinforcement or imitation learning 
Reinforcing correct set of actions, rewarding correct behavior and negating incorrect behavior (with real-time action/reward feedback loops) 
Perform a large number of instructions and generalize new tasks with different objects and environments 
Learn to perform dexterous tasks using high degree of freedom hands
Learn different robot policies to s","Go to search
Reinforcement Learning Engineer, Policy, Optimus
Job Category Tesla AI
Location Palo Alto, California
Req. ID 222416
Job Type Full-time
What to Expect
Tesla AI is solving robust embodied intelligence through humanoid robots. The goal of our reinforcement learning team is to build and demonstrate a general robot learning system that can leverage AI to perform complex physical tasks, ranging from full body locomotion, precise manipulation, and more. Our reinforcement and imitation learning engineers are responsible for end-to-end robotic learning and own this stack from inception to deployment. Most importantly, you will see your work repeatedly shipped to and utilized by thousands of humanoid robots in real world applications. 
What You’ll Do
Develop end-to-end robotic learning with either reinforcement or imitation learning 
Reinforcing correct set of actions, rewarding correct behavior and negating incorrect behavior (with real-time action/reward feedback loops) 
Perform a large number of instructions and generalize new tasks with different objects and environments 
Learn to perform dexterous tasks using high degree of freedom hands
Learn different robot policies to s",,2026-06-17_16-40-35
"Software Engineer, Generalist, AI Inference","Palo Alto, California",Tesla,Tesla AI,https://www.tesla.com/careers/search/job/221961,"Go to search
Software Engineer, Generalist, AI Inference
Job Category Tesla AI
Location Palo Alto, California
Req. ID 221961
Job Type Full-time
What to Expect
Our team productionalizes ML models - we train and deploy large neural networks for efficient inference on compute-constrained edge devices (CPU / GPU / AI ASIC). The nature of this role is multi-disciplinary - you will work at the intersection of machine learning and systems by building the ML frameworks and infrastructure that enable the seamless training, deployment, and inference of all neural networks that run on Autopilot and Optimus. 
What You’ll Do
Build robust AI frameworks to lower neural networks to edge devices
Build robust AI infrastructure to train and fine-tune networks for Autopilot and Optimus on large GPU clusters
Deploy state-of-the-art neural networks on heterogenous compute, including Tesla’s in-house AI ASIC, with an aim to maximize network performance while minimizing latency
Collaborate with AI scientists and compiler engineers to effectively compress large models to run in low precision
Design and implement custom GPU kernels (CUDA / OpenCL) for efficient training and post-processing of network output","Go to search
Software Engineer, Generalist, AI Inference
Job Category Tesla AI
Location Palo Alto, California
Req. ID 221961
Job Type Full-time
What to Expect
Our team productionalizes ML models - we train and deploy large neural networks for efficient inference on compute-constrained edge devices (CPU / GPU / AI ASIC). The nature of this role is multi-disciplinary - you will work at the intersection of machine learning and systems by building the ML frameworks and infrastructure that enable the seamless training, deployment, and inference of all neural networks that run on Autopilot and Optimus. 
What You’ll Do
Build robust AI frameworks to lower neural networks to edge devices
Build robust AI infrastructure to train and fine-tune networks for Autopilot and Optimus on large GPU clusters
Deploy state-of-the-art neural networks on heterogenous compute, including Tesla’s in-house AI ASIC, with an aim to maximize network performance while minimizing latency
Collaborate with AI scientists and compiler engineers to effectively compress large models to run in low precision
Design and implement custom GPU kernels (CUDA / OpenCL) for efficient training and post-processing of network output",,2026-06-17_16-40-40
"Software Engineer, Inference Infrastructure","Palo Alto, California",Tesla,Tesla AI,https://www.tesla.com/careers/search/job/222387,"Go to search
Software Engineer, Inference Infrastructure
Job Category Tesla AI
Location Palo Alto, California
Req. ID 222387
Job Type Full-time
What to Expect
As a member of the Inference Infrastructure team, you will own the systems that power AI model development, validation, and deployment across custom AI hardware at scale. Your work sits at the intersection of large-scale distributed infrastructure and cutting-edge AI hardware — building the platform that Compiler, AI, and Optimus teams depend on to develop & validate models on next-generation chips. This is not a supporting role; from cluster orchestration & hardware fleet management to inference pipelines & developer tooling, you will design and own foundational systems that directly determine how fast the org can move from a trained model to a validated, deployed artifact.
What You’ll Do
Own & scale the AI inference cluster — the physical and software platform that runs AI workloads on custom AI hardware across thousands of boards
Build & improve job scheduling, hardware onboarding, and cluster self-healing systems that keep the fleet running at 95%+ uptime
Design & implement inference pipelines that unify evals, sims, roll","Go to search
Software Engineer, Inference Infrastructure
Job Category Tesla AI
Location Palo Alto, California
Req. ID 222387
Job Type Full-time
What to Expect
As a member of the Inference Infrastructure team, you will own the systems that power AI model development, validation, and deployment across custom AI hardware at scale. Your work sits at the intersection of large-scale distributed infrastructure and cutting-edge AI hardware — building the platform that Compiler, AI, and Optimus teams depend on to develop & validate models on next-generation chips. This is not a supporting role; from cluster orchestration & hardware fleet management to inference pipelines & developer tooling, you will design and own foundational systems that directly determine how fast the org can move from a trained model to a validated, deployed artifact.
What You’ll Do
Own & scale the AI inference cluster — the physical and software platform that runs AI workloads on custom AI hardware across thousands of boards
Build & improve job scheduling, hardware onboarding, and cluster self-healing systems that keep the fleet running at 95%+ uptime
Design & implement inference pipelines that unify evals, sims, roll",,2026-06-19_09-14-26
"Duales Studium - Elektrotechnik, Schwerpunkt Automatisierungstechnik (m/w/d) 2026","Reutlingen, Baden-württemberg",Tesla,Engineering & Information Technology,https://www.tesla.com/careers/search/job/248559,"Go to search
Duales Studium - Elektrotechnik, Schwerpunkt Automatisierungstechnik (m/w/d) 2026
Job Category Engineering & Information Technology
Location Reutlingen, Baden-Württemberg
Req. ID 248559
Job Type Full-time
What to Expect
Wir bieten:
Eine praxisorientierte Ausbildung mit einem erfahrenen, qualifizierten Ausbilderteam und Internationalität
Ein attraktives Arbeitsumfeld durch die moderne Betriebsstätte und betriebseigene Kantine
Zukunftschancen: Übernahme in ein langfristiges Arbeitsverhältnis mit umfassender Projektverantwortung und interessanten Entwicklungsaufgaben sowie hervorragende Karriereaussichten
Überdurchschnittliche Ausbildungsvergütung mit 13 Monatsgehältern, 30 Tage Jahresurlaub und Unternehmensbeteiligungen
DHBW Stuttgart Campus Horb
Ausbildungsstart: 01. September 2026
What You’ll Do
Ausbildungsinhalte:
Technik: Planung und Umsetzung moderner Automatisierungslösungen – von der E-Planung über die SPS-Programmierung bis zur Inbetriebnahme komplexer Anlagen 
Hochschule – Schwerpunkte: Elektrotechnik-Grundlagen, Digitaltechnik, Regelungstechnik, Mikrocomputertechnik, Informatik und Geschäftsprozesse 
Vertiefung ab dem 4. Semester: Elektrotechnik und Information","Go to search
Duales Studium - Elektrotechnik, Schwerpunkt Automatisierungstechnik (m/w/d) 2026
Job Category Engineering & Information Technology
Location Reutlingen, Baden-Württemberg
Req. ID 248559
Job Type Full-time
What to Expect
Wir bieten:
Eine praxisorientierte Ausbildung mit einem erfahrenen, qualifizierten Ausbilderteam und Internationalität
Ein attraktives Arbeitsumfeld durch die moderne Betriebsstätte und betriebseigene Kantine
Zukunftschancen: Übernahme in ein langfristiges Arbeitsverhältnis mit umfassender Projektverantwortung und interessanten Entwicklungsaufgaben sowie hervorragende Karriereaussichten
Überdurchschnittliche Ausbildungsvergütung mit 13 Monatsgehältern, 30 Tage Jahresurlaub und Unternehmensbeteiligungen
DHBW Stuttgart Campus Horb
Ausbildungsstart: 01. September 2026
What You’ll Do
Ausbildungsinhalte:
Technik: Planung und Umsetzung moderner Automatisierungslösungen – von der E-Planung über die SPS-Programmierung bis zur Inbetriebnahme komplexer Anlagen 
Hochschule – Schwerpunkte: Elektrotechnik-Grundlagen, Digitaltechnik, Regelungstechnik, Mikrocomputertechnik, Informatik und Geschäftsprozesse 
Vertiefung ab dem 4. Semester: Elektrotechnik und Information",,2026-06-19_09-14-31
Werkstudent für den Bereich Systems Concept Development/ Layout – und Konzepterstellung (m/w/d),"Reutlingen, Baden-württemberg",Tesla,Engineering & Information Technology,https://www.tesla.com/careers/search/job/272237,"Go to search
Werkstudent für den Bereich Systems Concept Development/ Layout – und Konzepterstellung (m/w/d)
Job Category Engineering & Information Technology
Location Reutlingen, Baden-Württemberg
Req. ID 272237
Job Type Intern/Apprentice
What to Expect
Tesla steht für die Beschleunigung des Übergangs zu nachhaltiger Energie. Innerhalb weniger Jahre wurden revolutionäre Strategien und Produkte entwickelt und erfolgreich auf den Markt gebracht. Dies ist nur möglich durch außerordentliche Begeisterung und Identifikation der Mitarbeiter, Geschwindigkeit in der Umsetzung von Prozessen und Projekten sowie überdurchschnittlicher Innovationskraft und Effizienz.
Wir, Tesla Automation, unterstützen die unglaubliche Erfolgsgeschichte von Tesla durch hochautomatisierte Spitzentechnologie, welche die weltweite Produktionskapazität des Unternehmens auf das nächste Level hebt. Unsere Passion, Motivation und Leistungsbereitschaft für komplexen Sondermaschinenbau ermöglicht Tesla seine ambitionierten Ziele zu erreichen. 
Nun suchen wir Dich, um diese Erfolgsgeschichte gemeinsam fortzuführen und weiter auszubauen.
What You’ll Do
Unterstützung bei der Erstellung und Aufbereitung von Kalkulationen
M","Go to search
Werkstudent für den Bereich Systems Concept Development/ Layout – und Konzepterstellung (m/w/d)
Job Category Engineering & Information Technology
Location Reutlingen, Baden-Württemberg
Req. ID 272237
Job Type Intern/Apprentice
What to Expect
Tesla steht für die Beschleunigung des Übergangs zu nachhaltiger Energie. Innerhalb weniger Jahre wurden revolutionäre Strategien und Produkte entwickelt und erfolgreich auf den Markt gebracht. Dies ist nur möglich durch außerordentliche Begeisterung und Identifikation der Mitarbeiter, Geschwindigkeit in der Umsetzung von Prozessen und Projekten sowie überdurchschnittlicher Innovationskraft und Effizienz.
Wir, Tesla Automation, unterstützen die unglaubliche Erfolgsgeschichte von Tesla durch hochautomatisierte Spitzentechnologie, welche die weltweite Produktionskapazität des Unternehmens auf das nächste Level hebt. Unsere Passion, Motivation und Leistungsbereitschaft für komplexen Sondermaschinenbau ermöglicht Tesla seine ambitionierten Ziele zu erreichen. 
Nun suchen wir Dich, um diese Erfolgsgeschichte gemeinsam fortzuführen und weiter auszubauen.
What You’ll Do
Unterstützung bei der Erstellung und Aufbereitung von Kalkulationen
M",,2026-06-19_09-14-35
Ausbildung Fachkraft für Lagerlogistik (m/w/d) 2026,"Prüm, Rhineland-palatinate",Tesla,Operations & Business Support,https://www.tesla.com/careers/search/job/245971,"Go to search
Ausbildung Fachkraft für Lagerlogistik (m/w/d) 2026
Job Category Operations & Business Support
Location Prüm, Rhineland-Palatinate
Req. ID 245971
Job Type Intern/Apprentice
What to Expect
Wir bieten:
Eine praxisorientierte 3-jährige Ausbildung mit einem erfahrenen, qualifizierten Ausbilderteam und Internationalität
Ein attraktives Arbeitsumfeld durch die moderne Betriebsstätte und betriebseigene Kantine
Zukunftschancen: Übernahme in ein langfristiges Arbeitsverhältnis mit umfassender Projektverantwortung und interessanten Entwicklungsaufgaben sowie hervorragende Karriereaussichten
Überdurchschnittliche Ausbildungsvergütung mit 13 Monatsgehältern, 30 Tage Jahresurlaub und Unternehmensbeteiligungen
Regionale Berufsschule: BBS Trier
Ausbildungsstart: 01. August 2026
What You’ll Do
Ausbildungsinhalte:
Annahme, Kontrolle und Kommissionierung von Gütern
Transport von Gütern im innerbetrieblichen Verkehr mithilfe von Flurförderzeugen und vorhergehender Tourenplanung
Ermittlung und Auswertung von Logistikkennzahlen
Lagerverwaltung sowie sachgerechte Verpackung von empfindlichen Gütern
Optimierung logistischer Prozesse und Kennenlernen der logistiknahen kaufmännischen Abteilung","Go to search
Ausbildung Fachkraft für Lagerlogistik (m/w/d) 2026
Job Category Operations & Business Support
Location Prüm, Rhineland-Palatinate
Req. ID 245971
Job Type Intern/Apprentice
What to Expect
Wir bieten:
Eine praxisorientierte 3-jährige Ausbildung mit einem erfahrenen, qualifizierten Ausbilderteam und Internationalität
Ein attraktives Arbeitsumfeld durch die moderne Betriebsstätte und betriebseigene Kantine
Zukunftschancen: Übernahme in ein langfristiges Arbeitsverhältnis mit umfassender Projektverantwortung und interessanten Entwicklungsaufgaben sowie hervorragende Karriereaussichten
Überdurchschnittliche Ausbildungsvergütung mit 13 Monatsgehältern, 30 Tage Jahresurlaub und Unternehmensbeteiligungen
Regionale Berufsschule: BBS Trier
Ausbildungsstart: 01. August 2026
What You’ll Do
Ausbildungsinhalte:
Annahme, Kontrolle und Kommissionierung von Gütern
Transport von Gütern im innerbetrieblichen Verkehr mithilfe von Flurförderzeugen und vorhergehender Tourenplanung
Ermittlung und Auswertung von Logistikkennzahlen
Lagerverwaltung sowie sachgerechte Verpackung von empfindlichen Gütern
Optimierung logistischer Prozesse und Kennenlernen der logistiknahen kaufmännischen Abteilung",,2026-06-19_09-14-40
Werkstudent für den Bereich Layoutdesign (m/w/d),"Prüm, Rhineland-palatinate",Tesla,Engineering & Information Technology,https://www.tesla.com/careers/search/job/272238,"Go to search
Werkstudent für den Bereich Layoutdesign (m/w/d)
Job Category Engineering & Information Technology
Location Prüm, Rhineland-Palatinate
Req. ID 272238
Job Type Intern/Apprentice
What to Expect
Tesla steht für die Beschleunigung des Übergangs zu nachhaltiger Energie. Innerhalb weniger Jahre wurden revolutionäre Strategien und Produkte entwickelt und erfolgreich auf den Markt gebracht. Dies ist nur möglich durch außerordentliche Begeisterung und Identifikation der Mitarbeiter, Geschwindigkeit in der Umsetzung von Prozessen und Projekten sowie überdurchschnittlicher Innovationskraft und Effizienz.
Wir, Tesla Automation, unterstützen die unglaubliche Erfolgsgeschichte von Tesla durch hochautomatisierte Spitzentechnologie, welche die weltweite Produktionskapazität des Unternehmens auf das nächste Level hebt. Unsere Passion, Motivation und Leistungsbereitschaft für komplexen Sondermaschinenbau ermöglicht Tesla seine ambitionierten Ziele zu erreichen. 
Nun suchen wir Dich, um diese Erfolgsgeschichte gemeinsam fortzuführen und weiter auszubauen.
What You’ll Do
Unterstützung bei der Erstellung und Optimierung von 2D-Layouts (Maschinen- und Produktionslayouts) auf Basis von CAD-D","Go to search
Werkstudent für den Bereich Layoutdesign (m/w/d)
Job Category Engineering & Information Technology
Location Prüm, Rhineland-Palatinate
Req. ID 272238
Job Type Intern/Apprentice
What to Expect
Tesla steht für die Beschleunigung des Übergangs zu nachhaltiger Energie. Innerhalb weniger Jahre wurden revolutionäre Strategien und Produkte entwickelt und erfolgreich auf den Markt gebracht. Dies ist nur möglich durch außerordentliche Begeisterung und Identifikation der Mitarbeiter, Geschwindigkeit in der Umsetzung von Prozessen und Projekten sowie überdurchschnittlicher Innovationskraft und Effizienz.
Wir, Tesla Automation, unterstützen die unglaubliche Erfolgsgeschichte von Tesla durch hochautomatisierte Spitzentechnologie, welche die weltweite Produktionskapazität des Unternehmens auf das nächste Level hebt. Unsere Passion, Motivation und Leistungsbereitschaft für komplexen Sondermaschinenbau ermöglicht Tesla seine ambitionierten Ziele zu erreichen. 
Nun suchen wir Dich, um diese Erfolgsgeschichte gemeinsam fortzuführen und weiter auszubauen.
What You’ll Do
Unterstützung bei der Erstellung und Optimierung von 2D-Layouts (Maschinen- und Produktionslayouts) auf Basis von CAD-D",,2026-06-19_09-14-44
